DEF1001,1000-1-1,1000-1-4
DEF1002,1000-2-5,1000-2-9
DEF1003,1000-3-10,1000-3-16
DEF1004,1000-3-17,1000-3-21
DEF1005,1000-3-1,1000-3-3
DEF1006,1000-3-4,1000-3-8
DEF1007,1000-3-9,1000-3-15
DEF1008,1000-3-16,1000-3-20
DEF1009,1001-4-1,1001-4-6
DEF10010,1001-5-7,1001-5-13
DEF10011,1002-5-14,1002-5-19
DEF10012,1003-5-20,1003-5-25
DEF10013,1003-6-1,1003-6-2
DEF10014,1003-7-3,1003-7-6
DEF10015,1004-8-7,1004-8-9
DEF10016,1004-8-10,1004-8-16
DEF10017,1004-8-17,1004-8-19
DEF10018,1004-8-20,1004-8-25
DEF10019,1005-9-1,1005-9-4
DEF10020,1005-10-5,1005-10-9
DEF10021,1005-11-10,1005-11-16
DEF10022,1006-11-17,1006-11-21
DEF10023,1006-11-1,1006-11-6
DEF10024,1006-12-7,1006-12-11
DEF10025,1006-12-12,1006-12-13
DEF10026,1006-12-14,1006-12-19
DEF10027,1006-12-20,1006-12-22
DEF10028,1006-1-1,1006-1-2
DEF10029,1006-1-3,1006-1-7
DEF10030,1007-2-8,1007-2-10
DEF10031,1007-2-11,1007-2-15
DEF10032,1007-2-16,1007-2-20
DEF10033,1008-3-1,1008-3-4
DEF10034,1008-3-5,1008-3-9
DEF10035,1009-4-10,1009-4-13
DEF10036,1010-5-14,1010-5-17
DEF10037,1010-5-18,1010-5-22
DEF10038,1010-6-1,1010-6-3
DEF10039,1011-7-4,1011-7-10
DEF10040,1011-7-11,1011-7-14
DEF10041,1011-7-15,1011-7-18
DEF10042,1011-8-19,1011-8-22
DEF10043,1011-8-1,1011-8-2
DEF10044,1011-8-3,1011-8-9
DEF10045,1011-9-10,1011-9-16
DEF10046,1011-10-17,1011-10-20
DEF10047,1011-10-1,1011-10-3
DEF10048,1012-10-4,1012-10-7
DEF10049,1013-11-8,1013-11-14
DEF10050,1013-11-15,1013-11-18
DEF10051,1014-12-19,1014-12-25
DEF10052,1015-1-1,1015-1-7
DEF10053,1015-1-8,1015-1-11
DEF10054,1015-1-12,1015-1-15
DEF10055,1015-1-16,1015-1-22
DEF10056,1015-2-1,1015-2-2
DEF10057,1015-2-3,1015-2-4
